作者,段子内容
姐姐掉沟里了,在电话里和老爸老妈聊了一会，听说老爸的老寒腿貌似有点加重了，心里就有些发愁，这可如何是好呢？挂了电话后，突然发现儿子不见了！卧室、厨房、卫生间里都找遍了，都不在，叫了几声也没人答应，就有些慌了！儿子很懂事，很乖，平时要去哪里玩都会和我说，今天是咋的了？！想着儿子有时会跑到隔壁他三奶奶家去玩，就找了过去。三婶听我一说，当时就气笑了：你背上背着的小孩，不是你儿子，还能是谁？！我扭头一看，哟，真的啊，儿子在小背单里睡得正香呢。。。
我是谁∽谁是我,今天早上小中雨，不方便骑电动车，就坐公交去工地。公交站等车时，边上一对小夫妻突然吵了起来，并且手里雨伞比划着，当时心想，唉，男的要倒霉了，离他们远点。结果瞬间就脑袋惊疼，并且感觉有液体从头上下来，第一反应脑袋破了。第二反应申手摸摸头上痛的地方，缩回手发现是雨水，没破值得庆兴。看着他们两个惊恐眼神。。。如果不是公交车到了，如果不是赶时间，如果不是他们两口子诚恳道歉。。。。真的想打听清楚，他们大清早为啥吵架的故事。。。。
义行天下7,逛街遇一品牌店搞清 仓大处 理，价格很是便宜，原来几百一双的鞋子现 只 需 几十元！有便宜谁不想占，于是我也挤着人群进去了，在哪一堆鞋子里扒来扒去，都是断码鞋，好不容易找了双42的，结果仔细一看，有一只是43码的，我喊到:老板，你们这鞋怎么一只42，一只43呢?旁边一位大爷突然冲到我面前夺过我手里的鞋子，道:我要，正好我一只脚大，一只脚小！说完大 爷直接付 款走人了，老板喊我:这位先生，请不要鸡蛋里挑骨头，我们只卖给有需要的人！！！
别叫我弟弟,关羽：奉先，你站起来吕布：站起来干啥？关羽：你别管，先站起来吕布起身关羽：恕我直言，在座的都是垃圾
小能毛毛,小时候，爸爸特别喜欢我，看到我就抱我，喊我大姑娘。我不明白自己长得那么丑，我爸有啥可亲我的。直到我为人父母，有了自己的孩子。[大笑][大笑]
山鹰寂寞飞,小时候，爸爸特别喜欢我，看到我就抱我，喊我大姑娘。我不明白自己长得那么丑，我爸有啥可亲我的。直到我为人父母，有了自己的孩子。[大笑][大笑]
雪里黄蓝绿,老公休假这几天，一向活泼的侄子一反常态的扭捏，吃饭少，话少，白天老说困。前天因为玩手机还撒谎，被老公狠揍了一顿，下午吃饭就正常了，神态也恢复了。我说他，终于正常了哈，侄子说：“婶婶，前几天我身上有好几个秤砣，被叔叔打一顿，秤砣就掉下来了。”我给他点赞，把欠揍说的这样清新脱俗的。
义行天下7,小姨子长相一般，，但眼光有点高，，高中毕业后就在学校附近开了家小超市！这天有媒人给他介绍一个男朋友小张，长相帅气，也很挑，说是在某公司上班的，还是行 政 中心的呢！小姨子考虑了下，想着最少也得是个行 政经理或主管吧，就答应见了一面！地点在一咖啡馆，小姨子一见面聊了会就问人家是不是行政部门的主管或经理？小张:不是，我就是顶天立地一保 安！而小张则问小姨子是不是开了家贸易公司？？？……这场相亲最后也就不了了之！这媒人的话也太夸张了吧！！！
一米五的小胖几,吃饭中，老妈吃着吃着就开始打干呕，爸爸关心地问她咋了，妈妈说没事！老爸愣了一会儿，高兴地说，我们是不是又有新成员了？说着夹了一块辣子鸡往嘴里塞，完了也看他打干呕！我默默的说，看来这鸡肉是不能吃了！
艾玛*^o^*ZW…,去超市，一位大哥，不远不近，卑微地跟着我…我买馒头，他买馒头。我买土豆丝卷饼，他也买土豆丝卷饼。我买一盒鸡蛋，折扣装，他也买一盒。我买一个大盒黄油，他为难了，因为我买掉最后一个大盒，我佯装推车慢慢走开，眼角却盯着他，他努力思索片刻，买了两个小盒。蔬果区，我买一大袋土豆。他就苦恼了，土豆不会挑好坏。过了一会，工作人员拎着一袋人家称好又抛弃了的土豆，扔进这一堆土豆里，他欢天喜地地拣走了…我都替他高兴！最后在我挑橙子的时候，他直接悄悄把我购物车推走了…
向昨天说再见。,我有一哥们儿被领导提拔，请领导吃顿饭，酒过三巡后，这厮醉得一塌糊涂，表完忠心后，忽然扑嗵一下跪在地上，叩首领导，眼泪汪汪：“我郭xx家里世代务农，到了我这终于翻了身，我嘴笨不会表达，天地君亲师，上拜父母，下拜恩人！”已经年过五旬一向八面玲珑城府极深的领导居然颇有些动容，在以后的岁月视为已出！临退休时连自己亲儿子都没顾得上安置妥当，硬是费尽周折把我哥们儿活生生的又往上提了一级！
我是谁∽谁是我,我有一哥们儿被领导提拔，请领导吃顿饭，酒过三巡后，这厮醉得一塌糊涂，表完忠心后，忽然扑嗵一下跪在地上，叩首领导，眼泪汪汪：“我郭xx家里世代务农，到了我这终于翻了身，我嘴笨不会表达，天地君亲师，上拜父母，下拜恩人！”已经年过五旬一向八面玲珑城府极深的领导居然颇有些动容，在以后的岁月视为已出！临退休时连自己亲儿子都没顾得上安置妥当，硬是费尽周折把我哥们儿活生生的又往上提了一级！
义行天下7,我:老婆，我今天找人算了一卦，咱儿子最少兄弟两个到三个！母 老 虎吼道:能准吗，我是生 . 产厂家，我让他兄弟几个他兄弟几个！！！我……
记忆军营,我妈生了俩女儿，我相貌平平，我妹却貌美如花，问我妈：咋这么不公平？我妈答道：头批货，没啥经验，质量多少差点。
五少爷的刀,我妈生了俩女儿，我相貌平平，我妹却貌美如花，问我妈：咋这么不公平？我妈答道：头批货，没啥经验，质量多少差点。
-小门神~,表哥单身狗三十年，前两天却结婚了！那天我们一起去女方接亲，表嫂哭哭啼啼跟她爸妈道别，一家人都很伤感！临上车时，表嫂却要抱着自己养的小白一起走！表哥来了一句:人家都是嫁鸡随鸡，你倒好嫁狗“赔”狗！气氛一下很欢乐[笑哭]
空城旧梦她与伞,家住十一楼，电梯坏了，早上走下楼，才发现忘带车钥匙，上班时间快到了，楼下又停了一排车，肯定不能直接把钥匙丢下来。于是打电话给老婆，叫她送下来。老婆接电话说，好，两分钟送到。我有点纳闷，这娘们会那么勤快，还两分钟。真的，两分钟后，只见我家养的二哈从楼道里欢快的跑出来，嘴里叼着一串钥匙。拿着钥匙，正感叹着还是老婆聪明的时候，二哈撒欢儿的在小区里猛跑，我连忙跑过去牵着狗绳。就这样，二哈在前面跑，我牵着绳子在后面追，整整溜了三圈后，才把它拉回家。
歌歌哒f,三年前想买辆小货车送货，得知我意向后，一朋友说：要买就买个二手车，实惠、性价比高，我觉得他说的有道理，于是就在他介绍下买了一辆，三年后我觉得那辆车不好开了就想再买辆，当我打电话给他时，他：买啥二手的？要买就买新的，谁知道你买到啥样的，新的开几年后还有再卖的价值，我觉得他说的还是很有道理，当我来到他说的地方时发现卖新车的跟三年前卖给我二手的是同一个人……
诺诺真漂亮,三年前想买辆小货车送货，得知我意向后，一朋友说：要买就买个二手车，实惠、性价比高，我觉得他说的有道理，于是就在他介绍下买了一辆，三年后我觉得那辆车不好开了就想再买辆，当我打电话给他时，他：买啥二手的？要买就买新的，谁知道你买到啥样的，新的开几年后还有再卖的价值，我觉得他说的还是很有道理，当我来到他说的地方时发现卖新车的跟三年前卖给我二手的是同一个人……
归属与爱的需求,"""相亲网站帮我安排了一次约会，赴约的是个浓妆艳抹的半老徐娘，看起来怎么也得50多岁了，把我惊得一口咖啡差点喷出来，这TM什么相亲网站，竟然这么了解我的口味。"
a依然美好,想学人家跟朋友去野餐，刚把野餐布铺好东西放上，大爷就来问我苹果多少钱一斤[捂脸]
无书斋主,楼下老龙好酒，但有高血压，所以他老伴和儿子都禁止他喝酒！！今天老龙又喝酒了，大醉且吐了点血……他老伴和儿子正追问谁给他的酒时？他指着刚好下班回家的我:正子！！！……‌我……吓得我屁都不敢放一个，赶紧跑……！
千丝雨ベ万人迷,吃草莓，比较多，突然肚子疼，想着万一不是屁呢，就跑去洗手间了，接连跑了四趟洗手间，才真正迎来了炮..火.连.天。。幸亏来洗手间了，幸亏脱.裤.子.放.屁了，一.泄.如.注，真舒服!这时男友他妈妈在门外关心的说:千千，你要不要出来看看，好像你的车爆胎了!
骑着二哈啃黄瓜,月半香客观的评价了我和她优缺点她的优点是:贰，逗，大度，颜值太高我的优点是:贰，逗，大度她的缺点是:热心易招/灾，无私易惹嫌，吃/货我的缺点是:热心易招/灾，无私易惹嫌神塔馬的相似度非常高。。。
小恩的老公8,高中宿舍，晚上看到同学床上铺的床单很旧，还破，忍不住问：看你家条件挺好啊，没看出来你这么节约，床单破了还用着。同学一笑：这你就不懂了吧？你觉得我的零花钱哪来的？卧槽，这也成？我有样学样，把自已的床单故意弄脏弄破，接着和老妈微信视频说我床单太破了，需要钱买新的……只听微信那头传来一声怒吼：刚买三天的床单你在宿舍弄成这样？周末回家看我不打死你……
-小门神~,和女友吃烤鱼，我拿她面前一张纸巾。不料纸巾掉在了鱼盆里，盖住了鱼眼！跟我面对面的女友，指着烤鱼笑着对我说:盖张纸吃它，什么情况？你是怕鱼记住你长相，回头找你报仇吗[笑哭]
诸葛思慧,疲惫不堪地回到家，看着空荡荡的房子，心里感到无比落寞……“我们复合吧，我受不了一个人的生活，我压抑得快要窒息了……”我打电话给前女票。前女票：我还是那句话，你换套小公寓我就回来，你整天在公司忙，那四百平米的别墅我住着没安全感……”
鱼歌浅唱,晨练时扭伤了脚，二货赶忙翻冰箱说是受伤初期要冷敷，正琢磨家里也没有冰袋呀……“要海鲜味的还是水果？蔬菜？牛肉？……”二货捧着袋装的冻扇贝丁、南瓜碎、树莓和牛肉急匆匆拿来给我选……
可爱到家了,哈哈哈哈哈哈看到朋友圈一个老铁发：我刚当上正新鸡排分店店长，学校通知我开学了 ​…… ​​​
龙龍礱,当年我自驾游的时候，压死了一头羊，羊的主人好热情，宰了羊给我们吃，还送我们到火车站，在回来的路上，看着火车外的风景，真的好感人。
